Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	Disagree Strongly	Disagree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id91092	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	0	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	0	1	Go!	id97966	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	0	0	0	1	0	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	0	1	0	Go!	id91737	
Neither Agree or Disagree	Neither Agree or Disagree	Read	Agree Somewhat	Agree Strongly	Agree Somewhat	Neither Agree or Disagree	Disagree Strongly	Neither Agree or Disagree	0	1	1	0	1	1	0	0	1	1	Agree Somewhat	Agree Strongly	Nothing	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Agree Strongly	Neither Agree or Disagree	Agree Strongly	0	1	1	0	0	1	0	0	0	0	0	Go!	id93607	
Disagree Strongly	Disagree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	1	1	1	0	0	1	0	Disagree Strongly	Agree Strongly	Don't Know	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	0	1	0	Go!	id97596	
Disagree Strongly	Agree Somewhat	Not App	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	0	0	1	0	1	1	1	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	Disagree Somewhat	Disagree Somewhat	Agree Strongly	0	0	1	0	0	0	1	0	0	1	0	Go!	id99751	
Disagree Strongly	Agree Strongly	Delete	Agree Somewhat	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0		0	1	0	0	1	1	Go!	id79509	
Disagree Strongly	Agree Strongly	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	1	0	1	0	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	1	1	0	Go!	id98182	
Disagree Strongly	Neither Agree or Disagree	Reply	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Other	Agree Strongly	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	Disagree Strongly	Agree Strongly	No Opinion	0	0	0	1	0	1	1	0	0	1	1	Go!	id95740	
Disagree Somewhat	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	Disagree Somewhat	0	0	0	1	1	1	0	1	1	1	Agree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0		0	1	0	0	1	0	Go!	id98178	
Disagree Strongly	Agree Somewhat	Delete	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Disagree Somewhat	Impact Fee	Agree Strongly	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	1		1	1	1	1	1	1	Go!	id60321	
Disagree Strongly	Disagree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Disagree Strongly	Registry	Agree Strongly	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Disagree Strongly	0	0	0	0	0	0	1	0	0	1	1	Go!	id94363	
Disagree Strongly	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Government Controls	Agree Strongly	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	0	0	1	1	0	0	1	1	Go!	id99060	
Disagree Strongly	Disagree Somewhat	Reply	Agree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Disagree Somewhat	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Impact Fee	Neither Agree or Disagree	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	1	0	1	1	1	Go!	id95624	
Disagree Somewhat	Disagree Somewhat	Not App	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Nothing	Neither Agree or Disagree	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	1	1	0	0	0	0	0	0	0	Go!	id90301	
Disagree Strongly	Agree Strongly	Reply	Neither Agree or Disagree	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id99829	
Neither Agree or Disagree	No Opinion	Delete	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	Disagree Somewhat	Agree Strongly	0	0	0	1	0	1	0	0	1	1	Disagree Somewhat	Agree Somewhat	Registry	Agree Somewhat	0	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	1	0	0	1	0	0	1	1	Go!	id93469	
Agree Strongly	Neither Agree or Disagree	Delete	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	Neither Agree or Disagree	No Opinion	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	Agree Somewhat	Disagree Strongly	Nothing	Neither Agree or Disagree	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	Agree Strongly	Neither Agree or Disagree	Disagree Strongly	0	1	1	1	0	1	1	0	1	1	1	Go!	id90307	
Disagree Strongly	Neither Agree or Disagree	Reply	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	Disagree Strongly	0	0	0	1	0	1	1	1	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Strongly	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	1	0	0	1	Go!	id99740	
Disagree Strongly	No Opinion	Not App	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	No Opinion	Disagree Strongly	Registry	Agree Strongly	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id90312	
Disagree Strongly	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	Disagree Strongly	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Neither Agree or Disagree	Don't Know	Agree Strongly	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	0	0	1	1	0	0	1	1	Go!	id90313	
Disagree Strongly	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id90315	
Agree Somewhat	Agree Strongly	Not App	Disagree Strongly	Disagree Strongly	No Opinion	Agree Somewhat	Agree Strongly	No Opinion	0	1	0	1	0	1	0	1	1	0	No Opinion	No Opinion	Other	Agree Strongly	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	Disagree Strongly	Disagree Somewhat	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id90935	
Agree Somewhat	No Opinion	Delete	Agree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Disagree Somewhat	Impact Fee	Neither Agree or Disagree	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	0	0	0	1	1	0	1	0	1	Go!	id91209	
Disagree Strongly	Disagree Strongly	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Other	Agree Strongly	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	Disagree Strongly	No Opinion	Agree Strongly	0	0	0	0	0	0	1	0	0	1	1	Go!	id94781	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Strongly	Agree Somewhat	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Neither Agree or Disagree	Impact Fee	Agree Strongly	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	1	1	1	1	Go!	id90320	
Disagree Strongly	Neither Agree or Disagree	Reply	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	0	1	0	1	1	1	0	0	1	1	Neither Agree or Disagree	Agree Strongly	Blacklist	Agree Strongly	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id98600	
No Opinion	No Opinion	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	No Opinion	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	1	0	0	0	0	0	0	0	1	1	Go!	id99425	
Agree Strongly	Agree Somewhat	Not App	Agree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Somewhat	No Opinion	0	1	0	1	0	1	0	0	1	1	Agree Somewhat	Agree Strongly	Don't Know	Agree Strongly	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	1	0	0	0	1	0	0	1	1	Go!	id90333	
Disagree Somewhat	Neither Agree or Disagree	Reply	Agree Strongly	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	No Opinion	No Opinion	1	1	0	1	0	0	0	0	1	0	No Opinion	Agree Somewhat	Nothing	Agree Strongly	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	1	1	0	1	0	0	0	0	0	1	0	Go!	id97034	
Disagree Strongly	Agree Strongly	Delete	Agree Somewhat	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Somewhat	0	0	1	1	0	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1	0	0	1	0	0	1	1	Go!	id92791	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	0	0	0	1	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id90338	
Disagree Strongly	Agree Somewhat	Delete	Neither Agree or Disagree	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Strongly	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	1	1	0	1	1	0	1	1	1	Go!	id90340	
Disagree Strongly	No Opinion	Not App	Agree Strongly	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	No Opinion	No Opinion	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	0	1	0	Go!	id90345	
Agree Somewhat	Agree Strongly	Read	Agree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Agree Somewhat	Agree Strongly	0	1	1	1	0	1	0	1	1	1	Neither Agree or Disagree	Agree Strongly	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	0	0	1	0	0	1	0	Go!	id90346	
Disagree Strongly	Agree Strongly	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Disagree Strongly	0	1	1	1	1	0	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	1	1	0	1	1	1	1	1	1	Go!	id92227	
Disagree Strongly	Agree Strongly	Delete	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Strongly	Agree Somewhat	1	1	0	0	0	1	0	0	1	0	Agree Somewhat	Agree Somewhat	Other	Agree Strongly	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	1	0	0	1	1	1	0	0	1	Go!	id90350	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	1	1	1	0	1	0	0	1	0	Disagree Somewhat	Agree Strongly	Registry	Agree Strongly	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id90351	
Neither Agree or Disagree	Disagree Somewhat	Read	Neither Agree or Disagree	Neither Agree or Disagree	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	1	0	0	0	0	0	1	0	0	Neither Agree or Disagree	Disagree Somewhat	Blacklist	Neither Agree or Disagree	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	1	0	0	0	0	0	0	1	0	0	Go!	id90353	
Disagree Somewhat	Neither Agree or Disagree	Not App	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	1	0	1	0	1	1	0	Agree Somewhat	Disagree Somewhat	Registry	Agree Strongly	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id90354	
Disagree Somewhat	Disagree Strongly	Reply	Agree Somewhat	Disagree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	1	0	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Government Controls	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	1	1	1	0	1	1	0	1	1	1	Go!	id62670	
Disagree Somewhat	Agree Strongly	Delete	Agree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	1	0	0	1	0	1	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Other	Agree Somewhat	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	Agree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	0	1	1	0	0	1	1	Go!	id91579	
Agree Somewhat	Neither Agree or Disagree	Delete	Disagree Strongly	Agree Strongly	Disagree Somewhat	Agree Somewhat	Disagree Strongly	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Somewhat	Agree Strongly	Blacklist	Agree Strongly	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Agree Strongly	Neither Agree or Disagree	Agree Somewhat	0	0	0	1	0	0	1	1	1	1	1	Go!	id96530	
Disagree Somewhat	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	0	0	1	1	1	1	0	0	1	1	Disagree Somewhat	Agree Strongly	Government Controls	Agree Strongly	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id94043	
Agree Somewhat	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	0	1	0	0	0	1	1	0	0	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	1	0	0	1	1	Go!	id91100	
Disagree Strongly	No Opinion	Delete	No Opinion	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	Neither Agree or Disagree	0	0	0	0	1	1	0	0	1	1	Disagree Strongly	No Opinion	Impact Fee	Agree Strongly	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	Disagree Strongly	No Opinion	Agree Strongly	0	0	0	0	1	1	0	0	0	0	1	Go!	id94208	
Disagree Strongly	Neither Agree or Disagree	Not App	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	0	1	1	0	1	0	0	1	0	Neither Agree or Disagree	Agree Somewhat	Registry	Agree Strongly	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	0	0	1	0	0	0	1	0	0	1	0	Go!	id95603	
Disagree Somewhat	Disagree Somewhat	Delete	Agree Somewhat	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	1	0	Go!	id91101	
Disagree Strongly	No Opinion	Reply	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	1	0	1	1	1	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id91102	
Disagree Strongly	Agree Somewhat	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	No Opinion	0	0	0	0	0	0	0	0	0	1	Neither Agree or Disagree	No Opinion	Don't Know	Agree Strongly	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Disagree Strongly	0	0	0	0	0	0	0	0	0	0	1	Go!	id94404	
Disagree Strongly	No Opinion	Delete	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Disagree Strongly	No Opinion	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1	0	1	1	1	0	1	1	Go!	id98180	
Disagree Strongly	No Opinion	Read	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	0	0	1	0	1	1	0	1	1	1	Disagree Strongly	No Opinion	Impact Fee	Disagree Somewhat	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id91239	
Neither Agree or Disagree	Agree Strongly	Retaliate	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Neither Agree or Disagree	Agree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	Neither Agree or Disagree	Blacklist	Agree Strongly	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id91304	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	1	0	1	1	1	0	1	1	1	Neither Agree or Disagree	Agree Strongly	Registry	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	1	0	1		1	1	0	0	1	1	Go!	id95223	
Disagree Strongly	Agree Somewhat	Delete	Agree Somewhat	Disagree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	1	1	0	1	0	0	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Agree Strongly	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	0	1	0	Go!	id95617	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Disagree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Other	Agree Somewhat	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1	0	1	1	0	0	1	1	Go!	id81748	
Agree Strongly	Neither Agree or Disagree	Not App	Neither Agree or Disagree	Disagree Strongly	No Opinion	No Opinion	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	No Opinion	Agree Somewhat	Government Controls	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	1	0	0	0	0	0	0	0	Go!	id38761	
Disagree Somewhat	No Opinion	Delete	Agree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	Neither Agree or Disagree	Agree Strongly	Registry	Agree Strongly	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	0	0	Go!	id98725	
